"ticker","anomaly_score","ai_profile","ai_score_phase2","innovation_score","ai_rd_efficiency","ai_patent_momentum","industry"
"SYN130",0.767939618291869,"AI Leader",100,54.9,181883922.4,0.045798031,"Consumer"
"SYN012",0.742430305958398,"AI Leader",86.2,26.1,1011262782,0.004032095,"Healthcare"
"SYN146",0.689647824437905,"AI Follower",31.6,28.6,5920848.746,11000,"Consumer"
"SYN069",0.601600445280829,"AI Adopter",65.9,38.2,7973218.331,17.48750892,"Technology"
"SYN025",0.597372542427861,"AI Leader",84.1,42.2,11458964.39,0.147314852,"Technology"
"SYN134",0.577856650115647,"AI Adopter",57.6,11.8,79436905.94,0.063543025,"Industrials"
"SYN190",0.574689344009591,"AI Adopter",62.4,57.9,4674648.316,1.900669366,"Consumer"
NA,0.572154821758041,"AI Leader",100,40,75.52046784,0.999941524,"Unknown"
"SYN013",0.556644674503936,"AI Adopter",52.9,35.4,32841757.43,46.53465347,"Healthcare"
"SYN153",0.542744618097539,"AI Adopter",53.6,14.6,105121821.2,0.946870068,"Technology"
