ticker,metric,original_value,imputed_value,imputation_method
0170016D US,rd_expense,NA,1713.626,Global_Median
AIEQ US,rd_expense,NA,1713.626,Global_Median
ARES US,rd_expense,NA,1713.626,Global_Median
BLK US,rd_expense,NA,1713.626,Global_Median
BX US,rd_expense,NA,1713.626,Global_Median
KSPI US,rd_expense,NA,1713.626,Global_Median
MA US,rd_expense,NA,1713.626,Global_Median
MC US,rd_expense,NA,1713.626,Global_Median
MCD US,rd_expense,NA,1713.626,Global_Median
MCO US,rd_expense,NA,1713.626,Global_Median
MFG US,rd_expense,NA,1713.626,Global_Median
NTRS US,rd_expense,NA,1713.626,Global_Median
NU US,rd_expense,NA,1713.626,Global_Median
SOFI US,rd_expense,NA,1713.626,Global_Median
SOXX US,rd_expense,NA,1713.626,Global_Median
WCPAY US,rd_expense,NA,1713.626,Global_Median
0170016D US,market_cap,NA,111818663296.5,Global_Median
WCPAY US,market_cap,NA,111818663296.5,Global_Median
0170016D US,revenue_growth,NA,7.4481073355,Global_Median
AIEQ US,revenue_growth,NA,7.4481073355,Global_Median
SOXX US,revenue_growth,NA,7.4481073355,Global_Median
WCPAY US,revenue_growth,NA,7.4481073355,Global_Median
0170016D US,analyst_rating,NA,3.9559012750624998,Global_Mean
WCPAY US,analyst_rating,NA,3.9559012750624998,Global_Mean
0170016D US,patent_activity,NA,452,Global_Median
035420 KS,patent_activity,NA,452,Global_Median
AIEQ US,patent_activity,NA,452,Global_Median
AMAT US,patent_activity,NA,452,Global_Median
ANET US,patent_activity,NA,452,Global_Median
ARES US,patent_activity,NA,452,Global_Median
ASAN US,patent_activity,NA,452,Global_Median
BABA US,patent_activity,NA,452,Global_Median
BLK US,patent_activity,NA,452,Global_Median
BX US,patent_activity,NA,452,Global_Median
CAT US,patent_activity,NA,452,Global_Median
COIN US,patent_activity,NA,452,Global_Median
CRWD US,patent_activity,NA,452,Global_Median
DOCU US,patent_activity,NA,452,Global_Median
EADSY US,patent_activity,NA,452,Global_Median
KSPI US,patent_activity,NA,452,Global_Median
KYCCF US,patent_activity,NA,452,Global_Median
LRCX US,patent_activity,NA,452,Global_Median
MARUY US,patent_activity,NA,452,Global_Median
MC US,patent_activity,NA,452,Global_Median
MCD US,patent_activity,NA,452,Global_Median
MFG US,patent_activity,NA,452,Global_Median
MQ US,patent_activity,NA,452,Global_Median
MSFT US,patent_activity,NA,452,Global_Median
NTRS US,patent_activity,NA,452,Global_Median
NU US,patent_activity,NA,452,Global_Median
SMCAY US,patent_activity,NA,452,Global_Median
SOFI US,patent_activity,NA,452,Global_Median
SOXX US,patent_activity,NA,452,Global_Median
TKPHF US,patent_activity,NA,452,Global_Median
TM US,patent_activity,NA,452,Global_Median
TOST US,patent_activity,NA,452,Global_Median
TXN US,patent_activity,NA,452,Global_Median
WCPAY US,patent_activity,NA,452,Global_Median
XOM US,patent_activity,NA,452,Global_Median
ZM US,patent_activity,NA,452,Global_Median
WCPAY US,news_sentiment,NA,0,Global_Median
