"ticker","fund_weight","strategy_weight","innovation_score","ai_intensity_score","strategic_position"
"SYN028",0.049281359387096,0.0371241986828077,60.9,14.9,"Balanced"
"SYN156",0.0474167908919044,0.0324350376286746,55.3,13,"General Innovator (Low AI)"
"SYN178",0.0490373431649059,0.031663181602338,52.2,18,"AI-Focused Leader"
"SYN016",0.0453218468402047,0.031338378627329,55.9,16.4,"Balanced"
"SYN030",0.049422497597523,0.0308114645575964,50.4,11.8,"General Innovator (Low AI)"
"SYN067",0.0497732398610096,0.0275823358086955,44.8,19.2,"AI-Focused Leader"
"SYN170",0.0424530422918033,0.0272016779617269,51.8,15.4,"Balanced"
"SYN113",0.0456878972195555,0.027013831302567,47.8,17,"Balanced"
"SYN047",0.0416826331554912,0.026914279976948,52.2,16,"Balanced"
"SYN190",0.0404115189830773,0.0262934779431315,52.6,23.5,"AI-Focused Leader"
"SYN054",0.039130727333948,0.0259441727049397,53.6,18,"AI-Focused Leader"
"SYN188",0.0494764320286922,0.025826641893595,42.2,13.1,"General Innovator (Low AI)"
"SYN154",0.0488474574438296,0.0258004306383818,42.7,9.1,"General Innovator (Low AI)"
"SYN135",0.0472961643289309,0.02550759584839,43.6,12.2,"General Innovator (Low AI)"
"SYN143",0.0327619260288775,0.0254093808602699,62.7,14.7,"Balanced"
"SYN192",0.0410756504400633,0.0253029355163129,49.8,13.8,"Balanced"
"SYN180",0.0458840271739755,0.0252000623356555,44.4,19.3,"AI-Focused Leader"
"SYN198",0.0477176386481151,0.0248495287174805,42.1,11.4,"General Innovator (Low AI)"
"SYN107",0.0476912895103451,0.0247178222583454,41.9,12.8,"General Innovator (Low AI)"
"SYN062",0.0473328300588764,0.0241807429457915,41.3,19.7,"AI-Focused Leader"
"SYN130",0.0467203398954589,0.0240990079685886,41.7,49.8,"AI-Focused Leader"
"SYN100",0.0420894889349584,0.0238970039094325,45.9,15.3,"Balanced"
"SYN171",0.0429491034843959,0.0232694077597741,43.8,13.8,"Balanced"
"SYN108",0.045680581868859,0.0232236547091473,41.1,13.6,"Balanced"
"SYN150",0.0367284659252036,0.0223978754371851,49.3,20.8,"AI-Focused Leader"
"SYN164",0.0418127444451675,0.0216710429921397,41.9,8.7,"General Innovator (Low AI)"
"SYN133",0.0290275845599826,0.0205741848518023,57.3,21.7,"AI-Focused Leader"
"SYN091",0.0379405623483472,0.0202273109326849,43.1,9.8,"General Innovator (Low AI)"
"SYN014",0.0411660965608899,0.02001194752645,39.3,14.1,"Balanced"
"SYN197",0.0321528747789562,0.0198462049251149,49.9,11.1,"General Innovator (Low AI)"
"SYN196",0.0385055405749008,0.0185756897316087,39,12,"General Innovator (Low AI)"
"SYN105",0.0353478177220095,0.0180142812733001,41.2,12.8,"General Innovator (Low AI)"
"SYN131",0.023615111512132,0.0172345174857877,59,18.4,"AI-Focused Leader"
"SYN088",0.029037023777375,0.0160193199517793,44.6,17.6,"AI-Focused Leader"
"SYN193",0.0263202424929477,0.0156600115928516,48.1,11.4,"General Innovator (Low AI)"
"SYN117",0.0206392788884696,0.0155733294526569,61,23.7,"AI-Focused Leader"
"SYN048",0.0204798800244462,0.0146170703757926,57.7,14.6,"Balanced"
"SYN097",0.0284140961465891,0.0143049179643249,40.7,13.2,"General Innovator (Low AI)"
"SYN051",0.0269263181709684,0.0135225975636983,40.6,15.4,"Balanced"
"SYN172",0.0231277754320763,0.0121298892320813,42.4,19.5,"AI-Focused Leader"
"SYN127",0.0218017406945583,0.0114344200750401,42.4,21.4,"AI-Focused Leader"
"SYN021",0.0224459631345235,0.0109393516662134,39.4,23.2,"AI-Focused Leader"
"SYN161",0.0163852048940025,0.0100123481406487,49.4,11.3,"General Innovator (Low AI)"
"SYN053",0.0149627649171744,0.00736634476976279,39.8,15,"Balanced"
"SYN033",0.0142048095993232,0.00727432791761218,41.4,11.6,"General Innovator (Low AI)"
"SYN089",0.0124864017101936,0.0071356969108556,46.2,12.8,"General Innovator (Low AI)"
"SYN043",0.00950711671076715,0.00636213978859327,54.1,15.7,"Balanced"
"SYN046",0.0103103166001383,0.00617269018487048,48.4,21.9,"AI-Focused Leader"
"SYN166",0.0102949536996894,0.00590880278475358,46.4,17.7,"AI-Focused Leader"
"SYN116",0.00288785109948367,0.00140743431447248,39.4,23.5,"AI-Focused Leader"
